epoch,train_bce,val_bce,lr
1,0.5199496499182226,0.6094823121128938,0.003
2,0.423358440326862,0.5874161805762451,0.003
3,0.3846387179726057,0.6275047548021783,0.003
4,0.36691431613145487,0.6118900877315828,0.003
5,0.3629119345608843,0.5729899515437742,0.003
6,0.35605981129275116,0.5790257937733818,0.003
7,0.350689575270136,0.5817199358683731,0.003
8,0.3436892985635158,0.5786685200828227,0.003
9,0.3440331866334536,0.5769429709494032,0.003
10,0.33964994203013377,0.5891677409645141,0.003
11,0.33785696651208336,0.581176794135897,0.003
12,0.3343661926626907,0.5822235967569329,0.0015
13,0.32943516022933805,0.5713078925449357,0.0015
14,0.3260848053292788,0.5632926231928549,0.0015
15,0.32481348016629624,0.5792101450338908,0.0015
16,0.32304166809860607,0.5676366815841667,0.0015
17,0.3210203038199773,0.5433524214531622,0.0015
18,0.32121279408504055,0.5776284130536611,0.0015
19,0.31901189847734757,0.5490217238755766,0.0015
20,0.3175776183388038,0.5496817519233672,0.0015
21,0.31566719768781504,0.578569433541803,0.0015
22,0.3148968569596106,0.5581887256005775,0.0015
23,0.31347651390727654,0.5419652561250528,0.0015
24,0.31332174081531117,0.589804760241865,0.0015
25,0.3119485741780277,0.5561311050341348,0.0015
26,0.3117994283494579,0.560714152947263,0.0015
27,0.3094532965726895,0.5459587325201053,0.0015
