epoch,train_loss,val_loss,lr
1,0.14144416987895966,0.1612694256294232,0.0013333333333333333
2,0.08980403279264768,0.12782560704419246,0.002
3,0.08193362727761269,0.11769236266039886,0.002
4,0.07287178804477056,0.10780974950354832,0.002
5,0.06383262450496356,0.09213500219182326,0.002
6,0.058827558358510335,0.08663901099218772,0.002
7,0.052796464636921885,0.08296487802782884,0.002
8,0.04960612138112386,0.08044878579676151,0.002
9,0.04777844645082951,1.3612869708583906,0.002
10,0.04610006851454576,0.06689419547239175,0.002
11,0.04268866792321205,0.06650765147060156,0.002
12,0.04101204621295134,0.06017542952814928,0.002
13,0.04030990362167358,0.05727156065404415,0.002
14,0.03854426172872384,0.05822374148724171,0.002
15,0.03762000319858392,0.054346504979408704,0.002
16,0.03510666665931543,0.05253245588392019,0.002
17,0.03509485321740309,0.0524042730148022,0.002
18,0.03469963642458121,0.04966040363965126,0.002
19,0.03602086154123147,0.048922780757913224,0.002
20,0.034542384470502535,0.04844916561761728,0.002
21,0.032787924905618035,0.04797764072337976,0.002
22,0.03249855376780033,0.047249652015475124,0.002
23,0.030975384364525477,0.04701390962761182,0.002
24,0.031501425156990684,0.045387508204350106,0.002
25,0.031325538332263626,0.045447636037491836,0.002
26,0.030613046201566855,0.04772673343093349,0.002
27,0.030593659579753876,0.04219743741962772,0.002
28,0.029722341001033784,0.04188188627505532,0.002
29,0.03011110143115123,0.04142725120226924,0.002
30,0.030429892155031363,0.044583833633134,0.002
31,0.030379194368918738,0.041166438756940454,0.002
32,0.028683234453201294,0.041878292265419774,0.002
33,0.030104294021924338,0.0427087966281061,0.002
34,0.029006523018081983,0.040069997346458525,0.002
35,0.028553180222709973,0.0395948737501525,0.002
36,0.02856096771856149,0.040883630549964994,0.002
37,0.02814929336309433,0.041295740072830364,0.002
38,0.028094006677468617,0.03910187624681454,0.002
39,0.028874965086579323,0.04271286235262568,0.002
40,0.02769140327970187,0.03953781824272413,0.002
41,0.02732055346171061,0.03943492547393991,0.002
42,0.028136145944396656,0.039678098956266276,0.002
43,0.027701768775780997,0.04067700972350744,0.002
44,0.02704460675517718,0.039384739795843,0.001
