epoch,train_bce,val_bce
1,351.3274694695215,339.4444201896788
2,346.05880192867215,337.0810218672229
3,340.8630252477106,328.7376803513185
4,331.71586615179353,324.8297117058529
5,326.7142621203712,327.77461044546175
6,319.70463184044826,315.8952275218968
7,310.14840666888716,309.69430999309697
8,308.3363962960228,301.540469913429
9,311.84856268423874,303.07415419758877
10,304.0429692135208,304.2335424797086
11,302.0631061740914,294.4022226934699
12,293.5889116242642,294.6928863855882
13,297.55694830207824,293.1661181103907
14,292.9176316144208,291.7855379229788
15,291.62203191327353,283.0104097965762
16,288.59059954138024,280.67697400181277
17,286.47771188534654,279.00741989023373
18,282.8063520978721,278.830015586934
19,283.04096161964304,282.63048304111015
20,277.1730189580248,279.35613353597876
21,278.2416374320678,277.56323237643244
22,274.10540783750525,271.4868224872922
23,274.10839251803645,273.70891953588745
24,277.8611400975149,272.1006287460542
25,273.9747084264396,258.49555455324116
26,271.3332444537217,272.9835715530392
27,268.88890370609664,269.47886920125035
28,266.3731421743944,271.0985223465676
29,267.48186817309676,269.58234977267745
30,266.8652625456551,261.0045995507789
31,266.207558168719,271.30586034548804
32,264.2373239351806,264.585753855004
33,267.1066414484076,263.9030937507139
