epoch,train_bce,val_bce
1,324.0773789562957,368.6893035617512
2,293.36631016174914,391.98754238554966
3,286.39214623904417,436.5378698396259
4,283.8517202296773,359.2307428009232
5,281.91585977344346,367.56516288425354
6,280.9047046526924,384.77955894934087
7,280.3114463429684,390.5080061435091
8,279.5207149744615,424.5930014365608
9,279.3855490353968,363.1409172703487
10,278.4504850265309,360.5264371028754
11,277.5139097965049,355.00071814374303
12,277.28140459579004,354.27327211719825
13,276.85553847951957,402.2505161708582
14,276.5358857382348,409.92034038652184
15,276.3921036084263,412.6275821054463
16,275.50124862633703,447.4085705703382
17,276.28964100714626,363.5166115063408
18,275.8561882217581,391.9231498473006
19,275.4614173540839,411.5746292127118
20,275.2414824481444,368.7126221812748
