epoch,train_loss,val_loss
1,0.5790680956840515,0.6699072804588538
2,0.3657390115658442,0.47609121467058474
3,0.2893667876720428,0.41500837757037234
4,0.24568454881509144,0.3685935472066586
5,0.20545356194178263,0.3068570033288919
6,0.18432079364856085,0.2740535306242796
7,0.15620188842217128,0.25597413486013043
8,0.14714235643545787,0.23911504533428413
9,0.13514163643121718,0.22238695334929687
10,0.13028824657201768,0.2178340839365354
11,0.1236248716711998,0.21243218332529068
12,0.11770171761512756,0.18888141300815803
13,0.12026414886116982,0.18862781960230607
14,0.10913941497604052,0.1757908113873922
15,0.10845225945115089,0.17529525478871968
16,0.10826829940080643,0.1751929558813572
17,0.10509429290890694,0.1685852980097899
18,0.10416318327188492,0.17344531073020056
19,0.1013155039648215,0.16045423410832882
20,0.09985571483771007,0.17761833378328726
21,0.09567545394102732,0.16043257111540207
22,0.09501815790931384,0.15441753013202777
23,0.09158470764756203,0.15186573278445464
24,0.09048431312044461,0.1469598775013135
25,0.08817699640989303,0.1431185411146054
26,0.08993109290798505,0.1395890126721217
27,0.08664655600984891,0.14503375025322804
28,0.08671273971597354,0.15240804020028847
29,0.08735868622859319,0.13654745269853336
30,0.08402247086167336,0.13641098700463772
31,0.0855029520392418,0.14208679273724556
32,0.08490480040510495,0.13567994348704815
33,0.08303017993768057,0.13724485469552186
34,0.08110953892270724,0.13637848169757769
35,0.07816920806964238,0.1327234232941499
36,0.07821023836731911,0.1285160778520199
37,0.07539180457592011,0.1313427328490294
38,0.0766288382311662,0.1396482499459615
39,0.07383838986357052,0.12977474512389073
40,0.07604923923810324,0.12007893736545856
41,0.0725553963581721,0.12209726884388007
42,0.06882359271248181,0.11807709774718834
43,0.07415429030855497,0.12789286501132524
44,0.07335247014959653,0.12417245498643471
45,0.07110755786299705,0.11152819816309673
46,0.06729883514344692,0.11067575674790603
47,0.07182181234161059,0.12502402540009755
48,0.06722763294974964,0.11265017178196174
49,0.06644953707853953,0.10627350999185672
50,0.06550941390295824,0.10314656185129514
