epoch,train_bce,val_bce
1,295.2121499123822,287.51164939031804
2,268.67627153195133,275.21247002234054
3,259.8548847059322,272.2368018449559
4,256.53886437059555,270.3739832546872
5,253.59378483648285,268.4772620995384
6,251.09580721644022,266.43756457034726
7,249.31481200217522,266.48215069537997
8,248.7794406664621,270.2049803503167
9,246.83585233988555,269.1700553138556
10,246.6166901733854,262.4741355421222
11,245.69579981393508,262.0710493967675
12,244.64036577609903,261.5422848176557
13,243.7364123120846,264.65698547659673
14,243.26188417496078,261.3212402735425
15,242.2937822651357,259.74026237243515
16,241.80180406135875,260.67840463776594
17,241.15975962189825,261.8041602596581
18,241.10134281779224,263.1587756196963
19,240.65486024934688,267.6173092833536
20,240.30561746782848,260.50119851166477
21,239.68856279436878,260.8526008049247
22,239.68188938779068,260.59146861449955
23,238.86651042729355,259.98376117103015
