epoch,train_bce,val_bce
1,0.6328492555705817,0.6091573989297462
2,0.5792526769334848,0.6008464550434626
3,0.5607539278902401,0.5948836487887175
4,0.5450902384432096,0.5867649605371281
5,0.5358075248456645,0.5911342856400552
6,0.5284298280372057,0.604546137890782
7,0.5241477322332567,0.5873586221015578
8,0.5176428956263482,0.5840217110434912
9,0.5144546419286664,0.586166257362712
10,0.5123614582351897,0.5831223726485001
11,0.5090736474787158,0.5869988492800564
12,0.5065942706136888,0.5821454410400382
13,0.5065438088251342,0.5872919448579589
14,0.5028950263666447,0.5753017883408827
15,0.5025478288283368,0.5855864318213596
16,0.5020351757542456,0.5828724294495435
17,0.4999354726273515,0.5753242967064397
18,0.49755251137353945,0.5920404692015827
19,0.4979235222429165,0.5935507246524181
20,0.494844379888327,0.5859240192615965
21,0.4963980762604699,0.5979639844866967
22,0.49474747645308903,0.5941494131726084
